long,lat,nro_registro,tipo_activ,comuna,U46,calle,calle_altura,calle_chapa,ubicacion,nombre_cientifico,ancho_acera,estado_plantera,ubicacion_plantera,nivel_plantera,diametro_altura_pecho,altura_arbol,ultima_actualizacion
-58.36621965,-34.6110708,64881,Lineal,1,977,Moreau  de Justo Alicia Av.,700,76.0,LD,Brachychiton populneus,10.5,Sobreocupada,Regular,Elevada,30.0,5.0,2014-12-23
-58.38906872,-34.61628807,65152,Lineal,1,977,Cevallos Virrey,600,76.0,Exacta,Fraxinus pennsylvanica,2.5,Ocupada,Regular,A nivel,41.0,14.0,2009-08-13
-58.38908064,-34.61643094,65153,Lineal,1,977,Cevallos Virrey,600,76.0,Exacta,Tilia x moltkei,2.5,Ocupada,Regular,A nivel,30.0,16.0,2022-09-29
-58.38906344,-34.61622469,65154,Lineal,1,977,Cevallos Virrey,600,76.0,Exacta,Fraxinus pennsylvanica,2.5,Ocupada,Regular,A nivel,28.0,14.0,2015-04-12
-58.36624893,-34.61071593,64882,Lineal,1,977,Moreau  de Justo Alicia Av.,700,76.0,Exacta,Populus alba,10.5,Ocupada,Fuera de lÃÂ­nea,Elevada,48.0,18.0,2003-05-15
-58.36616251,-34.6112112,64883,Lineal,1,977,Moreau  de Justo Alicia Av.,700,76.0,LD,Ficus benjamina,10.5,Ocupada,Regular,Elevada,63.0,4.0,2007-06-24
-58.36621965,-34.6110708,64884,Lineal,1,977,Moreau  de Justo Alicia Av.,700,76.0,Exacta,Phoenix loureiri,10.5,Sobreocupada,Fuera de lÃÂ­nea,Elevada,14.0,3.0,2007-05-14
-58.37524305,-34.60869999,64885,Lineal,1,977,De Mayo Av.,600,76.0,LD,Platanus x acerifolia,6.2,Ocupada,Regular,Bajo nivel,35.0,23.0,2006-09-06
-58.37524305,-34.60869999,64886,Lineal,1,977,De Mayo Av.,600,76.0,Exacta,Platanus x acerifolia,6.2,Ocupada,Regular,Bajo nivel,31.0,22.0,2017-12-06
-58.37524305,-34.60869999,64887,Lineal,1,977,De Mayo Av.,600,76.0,Exacta,Platanus x acerifolia,6.2,Ocupada,Regular,Bajo nivel,25.0,21.0,2017-10-29
-58.37524305,-34.60869999,64888,Lineal,1,977,De Mayo Av.,600,76.0,Exacta,Fraxinus pennsylvanica,6.2,Ocupada,Regular,Bajo nivel,15.0,11.0,2021-04-03
-58.37543092,-34.60871313,64889,Lineal,1,977,De Mayo Av.,600,76.0,Exacta,Fraxinus pennsylvanica,6.2,Ocupada,Regular,A nivel,26.0,12.0,2014-11-12
-58.37559086,-34.60872433,64890,Lineal,1,977,De Mayo Av.,600,76.0,Exacta,Fraxinus pennsylvanica,6.2,Ocupada,Regular,Bajo nivel,23.0,12.0,2005-09-20
-58.37559086,-34.60872433,64891,Lineal,1,977,De Mayo Av.,600,76.0,Exacta,Fraxinus pennsylvanica,6.2,Ocupada,Regular,Bajo nivel,30.0,13.0,2011-01-04
-58.37572983,-34.60873405,64892,Lineal,1,977,De Mayo Av.,600,76.0,Exacta,Platanus x acerifolia,6.2,Ocupada,Regular,Bajo nivel,30.0,17.0,2001-11-09
-58.37581775,-34.6087402,64893,Lineal,1,977,De Mayo Av.,600,77.0,Exacta,Platanus x acerifolia,6.2,Ocupada,Regular,Bajo nivel,16.0,15.0,2000-05-25
-58.37587636,-34.6087443,64894,Lineal,1,977,De Mayo Av.,600,77.0,LD,Fraxinus pennsylvanica,6.2,Ocupada,Regular,Bajo nivel,25.0,13.0,2015-01-03
-58.37587636,-34.6087443,64895,Lineal,1,977,De Mayo Av.,600,77.0,Exacta,Fraxinus pennsylvanica,6.2,Ocupada,Regular,Bajo nivel,20.0,13.0,2006-08-27
-58.37600296,-34.60875316,64896,Lineal,1,977,De Mayo Av.,600,77.0,Exacta,Platanus x acerifolia,6.2,Ocupada,Regular,Bajo nivel,22.0,16.0,2012-01-15
-58.38902243,-34.61575624,65163,Lineal,1,977,Cevallos Virrey,600,77.0,LA,Fraxinus pennsylvanica,2.5,Ocupada,Regular,A nivel,22.0,9.0,2008-10-19
-58.38908664,-34.61650298,65164,Lineal,1,976,Cevallos Virrey,600,77.0,Exacta,Fraxinus pennsylvanica,2.5,Ocupada,Regular,A nivel,42.0,16.0,2008-06-08
-58.38904377,-34.61598873,65165,Lineal,1,976,Cevallos Virrey,600,77.0,Exacta,Fraxinus pennsylvanica,2.5,Ocupada,Regular,A nivel,25.0,12.0,2013-02-12
-58.38902243,-34.61575624,65166,Lineal,1,976,Cevallos Virrey,600,77.0,LA,Fraxinus pennsylvanica,2.5,Ocupada,Regular,A nivel,36.0,12.0,2008-12-24
-58.38902243,-34.61575624,65167,Lineal,1,976,Cevallos Virrey,600,77.0,Exacta,Fraxinus pennsylvanica,2.5,Ocupada,Ochava,A nivel,21.0,9.0,2002-09-06
-58.38924766,-34.61670286,65168,Lineal,1,976,Chile,1600,77.0,Exacta,Fraxinus pennsylvanica,2.8,Ocupada,Regular,A nivel,20.0,12.0,2022-09-27
-58.38924766,-34.61670286,65169,Lineal,1,976,Chile,1600,77.0,Exacta,Fraxinus pennsylvanica,2.8,Ocupada,Ochava,A nivel,27.0,10.0,2002-08-26
-58.38924766,-34.61670286,65170,Lineal,1,976,Chile,1600,77.0,Exacta,Fraxinus pennsylvanica,2.8,Ocupada,Regular,A nivel,35.0,13.0,2017-12-05
-58.38941441,-34.61670987,65171,Lineal,1,976,Chile,1600,77.0,Exacta,Ligustrum lucidum f. aureovariegata,2.8,Ocupada,Regular,A nivel,22.0,7.0,2015-12-26
-58.36275656,-34.6168661,65702,Lineal,1,976,Cossettini Olga,1600,77.0,LA,Tilia x moltkei,3.3,Sobreocupada,Regular,A nivel,25.0,9.0,2001-04-17
-58.36275656,-34.6168661,65706,Lineal,1,976,Cossettini Olga,1600,77.0,LA,Tilia x moltkei,3.3,Sobreocupada,Ochava,A nivel,25.0,7.0,2002-04-24
-58.36275656,-34.6168661,65707,Lineal,1,976,Cossettini Olga,1600,77.0,LA,Tilia x moltkei,3.3,Sobreocupada,Regular,A nivel,23.0,10.0,2006-03-11
-58.36103999,-34.61673315,65708,Lineal,1,976,Paine Aime,1600,77.0,Exacta,Tilia x moltkei,3,Ocupada,Regular,A nivel,25.0,7.0,2003-10-16
-58.36275656,-34.6168661,65709,Lineal,1,976,Cossettini Olga,1600,77.0,LA,Tilia x moltkei,3.3,Ocupada,Regular,A nivel,25.0,11.0,2007-01-10
-58.36103999,-34.61673315,65710,Lineal,1,976,Paine Aime,1600,77.0,LA,Tilia x moltkei,3,Ocupada,Regular,A nivel,19.0,5.0,2006-05-11
-58.36247336,-34.6162189,65718,Lineal,1,976,Ezcurra EncarnaciÃÂ³n,300,77.0,Exacta,Platanus x acerifolia,3.7,Sobreocupada,Ochava,A nivel,32.0,13.0,2008-03-04
