calle,comuna,altura_inicial,altura_final
AU. ARTURO FRONDIZI,4,0,1
AU. ARTURO ILLIA,0,0,1
AU. ARTURO ILLIA,1,0,1
AU. ARTURO ILLIA,13,0,1
AU. ARTURO ILLIA,14,0,1
AU. ARTURO ILLIA - BAJADA AV DEL LIBERTADOR,1,0,1
AU. ARTURO ILLIA - BAJADA AV SARMIENTO,14,0,1
AU. ARTURO ILLIA - BAJADA SALGUERO,2,0,1
AU. ARTURO ILLIA - SUBIDA AV CASTILLO,2,0,1
AU. ARTURO ILLIA - SUBIDA AV DEL LIBERTADOR,1,0,1
AU. ARTURO ILLIA - SUBIDA AV SARMIENTO,14,0,1
AU. ARTURO ILLIA - SUBIDA SALGUERO,0,0,1
AU. ARTURO ILLIA - SUBIDA SALGUERO,14,0,1
AU. BUENOS AIRES - LA PLATA,0,0,1
AU. BUENOS AIRES - LA PLATA,4,0,1
AU. DR. RICARDO BALBIN,0,0,1
AU. HÃCTOR CÃMPORA,0,0,1
AU. HÃCTOR CÃMPORA,7,0,1
AU. HÃCTOR CÃMPORA,8,0,1
AU. PDTE. DR. RAUL ALFONSIN (ex PASEO DEL BAJO),0,0,1
AU. PDTE. DR. RAUL ALFONSIN (ex PASEO DEL BAJO),1,0,1
AU. PERITO MORENO,0,0,1
AU. PERITO MORENO,9,0,1
AU. PERITO MORENO,10,0,1
AUSTRALIA,4,3202,3251
AUSTRIA,2,1702,2901
AV BARRIO NUEVO LAS TIRAS (NO OFICIAL),8,3102,3301
AV MANUEL MONTES DE OCA,4,0,2101
AV. 27 DE FEBRERO,0,0,1
AV. 27 DE FEBRERO,4,0,5501
AV. 27 DE FEBRERO,8,0,6501
AV. 9 DE JULIO,1,0,2001
AV. ACOYTE,6,2,801
AV. ANGEL GALLARDO,0,0,1101
AV. CALLAO,0,2,801
AV. CALLAO,2,802,2201
AV. CARABOBO,7,0,1701
AV. CARLOS CALVO,5,3802,4401
AV. CARLOS J. FINLAY,6,0,1
AV. CARRASCO,10,0,1001
AV. CASARES,14,0,4101
AV. CASEROS,0,1002,4201
AV. CASEROS,1,0,1
AV. CASEROS,4,0,3281
AV. CASTAÃARES,0,0,1
AV. CASTAÃARES,7,0,3001
AV. CASTAÃARES,8,0,6801
AV. CASTAÃARES,9,0,1
AV. CASTRO BARROS,5,2,501
AV. CERVIÃO,14,0,4901
AV. CHICLANA,3,2802,2931
AV. CHICLANA,4,0,4301
AV. CHICLANA,5,0,3901
AV. CHILE,1,0,401
AV. CHIVILCOY,11,0,5101
AV. CHORROARIN,15,0,1501
AV. CNEL. CARDENAS,9,0,3101
AV. CNEL. DIAZ,0,0,2501
AV. CNEL. DIAZ,14,2502,2901
AV. COBO,0,502,1201
AV. COBO,7,1202,1901
AV. COLOMBIA,14,0,3051
AV. COLONIA,4,2,601
AV. CORDOBA,0,0,6001
AV. CORDOBA,1,0,1401
AV. CORDOBA,2,0,1
AV. CORDOBA,15,6002,6301
AV. COREA,7,1702,1901
AV. CORRIENTES,1,0,1801
AV. CORRIENTES,3,1802,3401
AV. CORRIENTES,5,3402,4701
AV. CORRIENTES,15,0,6901
AV. CRAMER,13,0,3301
AV. CRISOLOGO LARRALDE,0,2402,3101
AV. CRISOLOGO LARRALDE,12,0,6901
AV. CRISOLOGO LARRALDE,13,1502,2401
AV. DARACT,4,2002,2301
AV. DE LOS INCAS,13,0,3551
AV. DE LOS INCAS,15,0,5501
AV. DE LOS ITALIANOS,1,0,1201
AV. DE LOS OMBUES,14,0,301
AV. DE MAYO,1,502,1601
AV. DEL CAMPO,15,0,1701
AV. DERQUI,9,0,4501
AV. DIRECTORIO,0,2,3701
AV. DIRECTORIO,7,1702,3201
AV. DIRECTORIO,9,0,7501
AV. DR.T. ACHAVAL RODRIGUEZ,1,0,1551
AV. EDUARDO MADERO,1,0,1501
AV. ELCANO,13,0,3601
AV. ELCANO,15,0,4701
AV. EMILIO CASTRO,0,5102,5601
AV. EMILIO CASTRO,9,0,7701
AV. ENTRE RIOS,0,2,2201
AV. EREZCANO,4,0,4001
AV. ESCALADA,0,0,2701
AV. ESCALADA,8,0,5401
AV. ESCALADA,9,0,2201
